,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
1970,2018-08-08,WSM,562714374021.8555,14.698042870456664,276.7814849332091,0.0,39.0,0.0035950692242869967,2436670.743589744,3337.9051282051287,101527.94764957266
1979,2018-08-09,WSM,572016536565.1683,14.375418349682631,282.4593768032314,1.0,40.0,0.0036703364933911003,2386702.15,3269.455,99445.92291666666
1988,2018-08-10,WSM,572383222963.745,14.3587106412319,282.4073201562859,0.0,40.0,0.0036537799876380445,2397517.1,3284.27,99896.54583333334
1997,2018-08-11,WSM,573539938315.1392,14.367056518983695,283.1863801348159,0.0,40.0,0.003637171896785144,2408464.6666666665,3299.2666666666664,100352.69444444444
2006,2018-08-12,WSM,573932482138.9146,14.361123879567915,283.2070213743967,0.0,40.0,0.003620714105396976,2419412.2333333334,3314.2633333333333,100808.84305555555
2015,2018-08-13,WSM,574704740833.1992,14.363552797885786,283.61432839250836,0.0,40.0,0.0036044045823996917,2430359.8000000003,3329.2600000000007,101264.99166666668
2024,2018-08-14,WSM,575650541530.0204,14.372248088750935,284.1135318464015,0.0,40.0,0.003588241333151263,2441307.366666667,3344.256666666667,101721.14027777778
2033,2018-08-15,WSM,577335926353.6819,14.35902147697255,285.03319168485126,1.0,41.0,0.0036615279585939737,2392443.8373983735,3277.3203252032517,99685.1598915989
2042,2018-08-16,WSM,576965193315.4547,14.259714764131878,285.717420174375,0.0,41.0,0.003645457071408725,2402990.8536585364,3291.7682926829266,100124.61890243902
2051,2018-08-17,WSM,579029172938.313,14.417283950617284,285.92454780361754,0.0,41.0,0.003629326730384792,2413670.81300813,3306.39837398374,100569.61720867209
2060,2018-08-18,WSM,580305008200.4884,14.48077254699086,286.6013105707881,1.0,42.0,0.0037014687143883587,2366628.1349206343,3241.9563492063485,98609.5056216931
2069,2018-08-19,WSM,579168941445.9371,14.34652548747324,285.82792339292945,0.0,42.0,0.003685439005984451,2376921.714285714,3256.0571428571425,99038.40476190475
2078,2018-08-20,WSM,582385209557.7838,14.109891379708806,288.07320314305525,0.0,42.0,0.003669345385870982,2387346.8095238092,3270.338095238095,99472.78373015873
