,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs,MTTFTest_SSDs
3843,2019-03-08,none,666257617612.7739,9.765084944346807,423.1716461628588,1.0,162.0,0.009130732932324234,959397.242798354,1314.2427983539096,39974.88511659808,2.654320987654321
3852,2019-03-09,none,657478105156.9349,9.62990990990991,417.83769369369367,0.0,162.0,0.009110161250791398,961563.6604938272,1317.2104938271605,40065.152520576135,2.6604938271604937
3861,2019-03-10,none,671359871810.5112,9.714083773528756,427.714753366565,0.0,162.0,0.009089072914562714,963794.6666666667,1320.2666666666669,40158.11111111112,2.6666666666666665
3870,2019-03-11,none,668767304132.6732,9.898868977673326,424.72892185663926,1.0,163.0,0.009124057798760415,960099.1349693252,1315.2042944785276,40004.13062372188,2.6564417177914113
3879,2019-03-12,none,667112321571.215,9.75709387993289,424.67794879276386,0.0,163.0,0.009103647540525815,962251.6646216769,1318.152965235174,40093.819359236535,2.6625766871165646
3888,2019-03-13,none,663111853336.4918,9.80934049970947,421.90492446252176,1.0,164.0,0.00913844182137318,958587.9268292683,1313.1341463414635,39941.16361788618,2.652439024390244
3897,2019-03-14,none,656901117279.3234,9.698679043198858,418.09368082827564,0.0,164.0,0.00911809602294103,960726.8861788618,1316.0642276422766,40030.286924119246,2.658536585365854
3906,2019-03-15,none,664808175274.2678,9.822023509050263,423.0784596524122,0.0,164.0,0.009097230814650548,962930.3882113821,1319.0827235772358,40122.09950880759,2.6646341463414633
3915,2019-03-16,none,681765345075.0322,9.86894101975875,434.1164064234441,0.0,164.0,0.009076460881283766,965133.8902439025,1322.101219512195,40213.912093495936,2.6707317073170733
3924,2019-03-17,none,669545596115.4845,9.805097017086592,426.27939472922094,0.0,164.0,0.009055785571759201,967337.3922764228,1325.1197154471545,40305.724678184284,2.676829268292683
3933,2019-03-18,none,660248063449.6005,9.3687624750499,420.3225691474195,0.0,164.0,0.009035204240914294,969540.8943089432,1328.138211382114,40397.53726287263,2.682926829268293
3942,2019-03-19,none,680287748514.2234,9.653961959315561,433.4058896967027,0.0,164.0,0.009014716249438297,971744.3963414636,1331.1567073170734,40489.34984756098,2.6890243902439024
3951,2019-03-20,none,668957146070.8763,9.664591777649102,426.32245222929936,0.0,164.0,0.008994320963806084,973947.8983739838,1334.1752032520326,40581.16243224933,2.6951219512195124
3960,2019-03-21,none,670554564647.5409,9.476499423298732,427.40441176470586,0.0,164.0,0.008974017756212841,976151.4004065043,1337.193699186992,40672.97501693768,2.701219512195122
3969,2019-03-22,none,676418372273.4467,9.349752978785236,431.1942022667829,0.0,164.0,0.00895380600450966,978354.9024390245,1340.2121951219513,40764.78760162602,2.707317073170732
3978,2019-03-23,none,677569836968.6917,9.43036496350365,431.33627737226277,0.0,164.0,0.008933685092139975,980558.4044715449,1343.2306910569107,40856.60018631437,2.7134146341463414
3987,2019-03-24,none,681074263116.034,9.206730418278706,433.92802394335354,2.0,166.0,0.009022357510614405,970921.4016064258,1330.0293172690763,40455.058400267735,2.6867469879518073
