,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
3667,2019-02-17,RM,800844978653.0419,9.870062965083,530.139811104751,0.0,64.0,0.007050483481396547,1242467.9843749998,1702.0109374999997,51769.49934895833
3676,2019-02-18,RM,788195602121.4214,9.534124629080118,520.9114031369224,0.0,64.0,0.0070333706574125755,1245491.020833333,1706.1520833333332,51895.45920138888
3685,2019-02-19,RM,806302071684.5631,9.713936078318456,534.2482004031096,0.0,64.0,0.007016340704246927,1248514.0572916667,1710.2932291666666,52021.419053819445
3694,2019-02-20,RM,788918803344.4198,9.545733836056417,522.6013126658288,1.0,65.0,0.007108758537345589,1232282.676923077,1688.0584615384616,51345.11153846155
3703,2019-02-21,RM,796971691988.2048,9.650028604118994,529.3778604118993,0.0,65.0,0.007092521027506252,1235103.846153846,1691.923076923077,51462.66025641026
3712,2019-02-22,RM,797070806035.6108,9.919750399071253,528.0146546720836,0.0,65.0,0.007075471698113207,1238080.0000000002,1696.0000000000002,51586.66666666667
3721,2019-02-23,RM,817102614919.0754,9.827798647633358,543.9368895567243,0.0,65.0,0.007058504140084159,1241056.153846154,1700.076923076923,51710.67307692308
3730,2019-02-24,RM,793367298875.0693,9.488243831640059,526.3072568940494,0.0,65.0,0.007041617766543287,1244032.3076923077,1704.1538461538464,51834.67948717949
3739,2019-02-25,RM,812230191684.2023,10.05624060150376,537.903007518797,0.0,65.0,0.007024811996217409,1247008.4615384615,1708.2307692307693,51958.6858974359
3748,2019-02-26,RM,804185794038.6996,9.925366632786409,533.8940031944243,1.0,66.0,0.007115902964959568,1231045.4545454546,1686.3636363636365,51293.56060606061
3757,2019-02-27,RM,816863808441.2808,10.442418852823478,542.7749777646012,0.0,66.0,0.007099893651003771,1233821.297979798,1690.1661616161616,51409.22074915825
3766,2019-02-28,RM,806713210645.9714,9.754178674351586,537.3318443804035,0.0,66.0,0.0070830692584658485,1236751.9898989897,1694.180808080808,51531.3329124579
3775,2019-03-01,RM,800780685490.1863,9.884714285714285,533.1467142857143,0.0,66.0,0.007066324413883187,1239682.6818181816,1698.1954545454544,51653.44507575757
3784,2019-03-02,RM,808990332225.889,9.752773375594295,539.3208471401815,0.0,66.0,0.007049658554416481,1242613.3737373736,1702.210101010101,51775.557239057234
3793,2019-03-03,RM,828086098041.3,10.025770142180095,552.7298578199052,0.0,66.0,0.007033071122523736,1245544.0656565656,1706.2247474747473,51897.6694023569
3802,2019-03-04,RM,828862602999.1917,10.056899838686025,553.3570904824754,1.0,67.0,0.007122873104775338,1229840.805970149,1684.7134328358206,51243.366915422885
3811,2019-03-05,RM,810608446386.5283,9.741406587084711,540.8758809147131,0.0,67.0,0.007107085988668736,1232572.6766169153,1688.4557213930348,51357.194859038136
3820,2019-03-06,RM,806652711406.7874,10.47782885955806,543.1755895002225,1.0,68.0,0.007196308716940487,1217290.7450980393,1667.521568627451,50720.447712418296
3829,2019-03-07,RM,825761749279.6495,10.937424607961399,556.728287092883,0.0,68.0,0.007180437531513409,1219981.3676470588,1671.2073529411764,50832.55698529412
3838,2019-03-08,RM,816130556984.5468,10.726388265229756,549.9983535398892,0.0,68.0,0.007163738839579656,1222825.1470588236,1675.102941176471,50951.04779411766
3847,2019-03-09,RM,807940037734.7573,10.275846898372196,544.2629417803197,1.0,69.0,0.007252222306889874,1207905.608695652,1654.6652173913044,50329.40036231884
