app,node_id,failure_time
DAE,36210.0,4467.7225
DAE,36671.0,6765.753611111111
DAE,37349.0,6193.412638888889
DAE,37469.0,7810.169027777778
DAE,37569.0,7810.248888888889
DAE,38018.0,8208.241944444444
DAE,38130.0,5537.647777777777
DAE,38345.0,17342.63472222222
DAE,38412.0,6706.368611111111
DAE,39117.0,7810.046944444444
DAE,39118.0,10170.108055555555
DAE,40014.0,5253.824444444444
DAE,40322.0,5504.731944444444
DAE,40999.0,12346.84
DAE,41322.0,5331.3325
DAE,41435.0,5281.301111111111
DAE,41504.0,5895.662638888889
DAE,41766.0,2398.4222222222224
DAE,41988.0,7810.063611111111
DAE,42096.0,14218.434444444445
DAE,42152.0,7810.1033333333335
DAE,42539.0,9665.095555555556
DAE,42576.0,5321.818958333333
DAE,42608.0,8109.747222222222
DAE,42934.0,7053.743055555556
DAE,43041.0,10799.547361111112
DAE,43061.0,5725.386388888889
DAE,43320.0,13005.309722222222
DAE,43778.0,6097.536944444445
DAE,44113.0,4909.464444444444
DAE,44331.0,6389.094722222222
DAE,44489.0,7809.885555555556
DAE,44491.0,7810.231388888889
DAE,44990.0,8610.948472222222
DAE,45193.0,6424.865833333333
DAE,45219.0,4850.581249999999
DAE,45327.0,7810.067916666667
DAE,45698.0,12706.044444444444
DAE,45873.0,11684.259722222223
DAE,46227.0,5554.456111111111
DAE,46701.0,5885.696944444444
DAE,46954.0,7590.7775
DAE,47263.0,6089.324166666667
DAE,47330.0,5983.216666666666
DAE,47492.0,7810.2225
DAE,48545.0,8797.190833333332
DAE,48839.0,10820.833333333334
DAE,48842.0,3809.95875
DAE,49110.0,6355.245
DAE,49661.0,5158.484166666666
DAE,49734.0,9276.831666666667
DAE,49807.0,10464.122222222222
DAE,49872.0,6144.633333333333
DAE,50206.0,5607.742499999999
DAE,50259.0,7810.214166666667
DAE,50747.0,5196.180972222222
DAE,50817.0,8167.2427777777775
DAE,50843.0,6924.720648148148
DAE,50979.0,9416.557083333333
DAE,51167.0,7011.0650000000005
DAE,51312.0,6557.682222222223
DAE,51482.0,4560.252685185184
DAE,51772.0,12597.24861111111
DAE,51913.0,7810.080277777777
DAE,52440.0,7809.949722222223
DAE,52649.0,12913.051944444445
DAE,52907.0,10981.090555555556
DAE,53329.0,9943.381666666666
DAE,53466.0,7810.440555555556
DAE,53598.0,7810.307083333333
DAE,53664.0,4640.7155555555555
DAE,53978.0,5049.0888888888885
DAE,54080.0,13760.623333333333
DAE,54602.0,13287.241944444446
DAE,54643.0,5253.706111111111
DAE,54699.0,6816.240833333333
DAE,55231.0,6178.198333333334
DAE,55815.0,9575.138888888889
DAE,56110.0,16260.334722222224
DAE,56251.0,1849.8477777777778
DAE,56451.0,6821.836666666667
DAE,56713.0,3618.1094444444448
DAE,56961.0,5594.077222222223
DAE,57334.0,17400.235555555555
DAE,58216.0,4819.030555555555
DAE,58521.0,5892.690277777778
DAE,59267.0,6852.04361111111
DAE,59298.0,7187.1305555555555
DAE,59749.0,6713.514166666666
DAE,59806.0,12959.419444444444
DAE,60160.0,7810.131388888889
DAE,60711.0,5529.991111111111
DAE,60713.0,2182.421388888889
DAE,61228.0,7550.136944444444
DAE,61410.0,5815.489097222222
DAE,61436.0,12624.054166666667
DAE,61570.0,5204.382361111111
DAE,61736.0,4957.598333333333
DAE,61748.0,10095.85875
DAE,61841.0,2054.6227777777776
DAE,62203.0,8649.599166666667
DAE,62522.0,4957.077222222223
DAE,62542.0,6030.886944444444
DAE,62604.0,15634.668055555556
DAE,63233.0,7102.449166666666
DAE,63421.0,5852.716388888889
DAE,63463.0,7385.15263888889
DAE,63513.0,11331.118611111111
DAE,63600.0,5469.286666666667
DAE,64333.0,16060.767777777777
DAE,64622.0,1764.2852777777778
DAE,64689.0,7810.238888888888
DAE,64816.0,5110.991944444444
DAE,64892.0,7810.125277777778
DAE,64910.0,17024.434444444443
DAE,65226.0,6154.664444444444
