_id,disk_id,failure_time,model_x,model_y,app,node_id,rack_id,machine_room_id
{'$oid': '6266c2f0718b63c8dff9a38e'},81979.0,1566274505000,MC1,C1,WSM,98338.0,3591.0,330.0
{'$oid': '6266c2f0718b63c8dff9a38f'},104350.0,1566275378000,MC1,C1,WSM,125424.0,16279.0,459.0
{'$oid': '6266c2f0718b63c8dff9a390'},186262.0,1566277805000,MC1,C1,RM,221141.0,17974.0,413.0
{'$oid': '6266c2f0718b63c8dff9a391'},71924.0,1566282613000,MA2,A2,WSM,141043.0,27073.0,411.0
{'$oid': '6266c2f0718b63c8dff9a392'},146669.0,1566284628000,MC1,C1,WSM,174323.0,17402.0,561.0
{'$oid': '6266c2f0718b63c8dff9a393'},187028.0,1566287698000,MC1,C1,WSM,222442.0,28209.0,459.0
{'$oid': '6266c2f0718b63c8dff9a394'},92324.0,1566287754000,MC1,C1,WSM,110305.0,20209.0,362.0
{'$oid': '6266c2f0718b63c8dff9a395'},25516.0,1566287789000,MC1,C1,WSM,29969.0,17066.0,245.0
{'$oid': '6266c2f0718b63c8dff9a396'},17601.0,1566287884000,MC1,C1,RM,20330.0,23077.0,56.0
{'$oid': '6266c2f0718b63c8dff9a397'},119448.0,1566290251000,MC1,C1,WSM,141822.0,17182.0,661.0
{'$oid': '6266c2f0718b63c8dff9a398'},33850.0,1566291923000,MB1,B3,none,181436.0,26777.0,42.0
{'$oid': '6266c2f0718b63c8dff9a399'},6625.0,1566301642000,MC1,C1,WSM,7650.0,24024.0,248.0
{'$oid': '6266c2f0718b63c8dff9a39a'},193248.0,1566306100000,MC1,C1,WSM,230257.0,26128.0,303.0
{'$oid': '6266c2f0718b63c8dff9a39b'},5880.0,1566311937000,MC1,C1,WSM,6568.0,13694.0,261.0
{'$oid': '6266c2f0718b63c8dff9a39c'},190120.0,1566320765000,MC1,C1,WSM,226344.0,12375.0,268.0
{'$oid': '6266c2f0718b63c8dff9a39d'},86361.0,1566323404000,MC1,C1,DAE,103245.0,4087.0,475.0
{'$oid': '6266c2f0718b63c8dff9a39e'},152375.0,1566323622000,MC1,C1,WSM,181222.0,5089.0,292.0
{'$oid': '6266c2f0718b63c8dff9a39f'},107219.0,1566324112000,MC1,C1,WSM,128659.0,11992.0,49.0
{'$oid': '6266c2f0718b63c8dff9a3a0'},9705.0,1566324206000,MC1,C1,WSM,11207.0,11801.0,637.0
{'$oid': '6266c2f0718b63c8dff9a3a1'},32294.0,1566324965000,MC1,C1,WSM,38309.0,16335.0,625.0
{'$oid': '6266c2f0718b63c8dff9a3a2'},197314.0,1566326815000,MC1,C1,WSM,234876.0,20529.0,601.0
{'$oid': '6266c2f0718b63c8dff9a3a3'},17245.0,1566328435000,MC1,C1,WSM,19892.0,26721.0,597.0
{'$oid': '6266c2f0718b63c8dff9a3a4'},173600.0,1566329779000,MC1,C1,WSM,207349.0,10229.0,561.0
{'$oid': '6266c2f0718b63c8dff9a3a5'},55215.0,1566332104000,MC1,C1,WSM,65665.0,27704.0,63.0
{'$oid': '6266c2f0718b63c8dff9a3a6'},120921.0,1566332176000,MC1,C1,WSM,143657.0,2016.0,540.0
{'$oid': '6266c2f0718b63c8dff9a3a7'},31728.0,1566335288000,MB1,B3,none,170065.0,943.0,260.0
{'$oid': '6266c2f0718b63c8dff9a3a8'},50906.0,1566336197000,MC1,C1,WSM,60608.0,7101.0,518.0
{'$oid': '6266c2f0718b63c8dff9a3a9'},65877.0,1566336604000,MC1,C1,RM,78914.0,26974.0,413.0
{'$oid': '6266c2f0718b63c8dff9a3aa'},130619.0,1566337404000,MC1,C1,WSM,155161.0,23760.0,601.0
{'$oid': '6266c2f0718b63c8dff9a3ab'},13343.0,1566337683000,MC1,C1,WSM,15232.0,15925.0,442.0
{'$oid': '6266c2f0718b63c8dff9a3ac'},50455.0,1566337831000,MC1,C1,WSM,60205.0,3719.0,601.0
{'$oid': '6266c2f0718b63c8dff9a3ad'},224.0,1566341026000,MB2,B2,WSM,1230.0,10463.0,231.0
{'$oid': '6266c2f0718b63c8dff9a3ae'},198725.0,1566342738000,MC1,C1,WSM,236648.0,18360.0,573.0
{'$oid': '6266c2f0718b63c8dff9a3af'},163165.0,1566342964000,MC1,C1,WSM,194952.0,17066.0,245.0
{'$oid': '6266c2f0718b63c8dff9a3b0'},80193.0,1566346638000,MC1,C1,WSM,96318.0,14258.0,248.0
{'$oid': '6266c2f0718b63c8dff9a3b1'},2107.0,1566348312000,MC1,C1,WSM,2386.0,4978.0,549.0
{'$oid': '6266c2f0718b63c8dff9a3b2'},97679.0,1566348479000,MC1,C1,WSM,117041.0,26007.0,496.0
{'$oid': '6266c2f0718b63c8dff9a3b3'},35883.0,1566349552000,MC1,C1,WSM,42819.0,3719.0,601.0
{'$oid': '6266c2f1718b63c8dff9a3b4'},162179.0,1566350052000,MC1,C1,WSM,193777.0,26721.0,597.0
{'$oid': '6266c2f1718b63c8dff9a3b5'},158594.0,1566351168000,MC1,C1,WSM,189361.0,23655.0,49.0
{'$oid': '6266c2f1718b63c8dff9a3b6'},51569.0,1566351333000,MC1,C1,WSM,61277.0,20209.0,362.0
{'$oid': '6266c2f1718b63c8dff9a3b7'},116364.0,1566354186000,MC1,C1,WSM,138551.0,28209.0,459.0
