,Unnamed: 0,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
57,523,2018-02-28,WSM,428783154539.286,13.199066874027992,207.6461237184656,0.0,1.0,0.0003564497603865,24575693.33333333,33665.33333333333,1023987.222222222
58,532,2018-03-01,WSM,432556964025.81287,13.227788604837786,210.2095609308724,0.0,1.0,0.0003501962558183,25014545.0,34266.5,1042272.7083333333
59,541,2018-03-02,WSM,433789492746.8005,13.2595463680735,210.85839793281653,0.0,1.0,0.0003441583893387,25453396.666666664,34867.666666666664,1060558.1944444445
60,550,2018-03-03,WSM,434442268007.0512,13.282010004024608,211.22330822744783,0.0,1.0,0.000338325196299,25892248.33333333,35468.83333333333,1078843.6805555553
61,559,2018-03-04,WSM,435625648570.0103,13.27709182794464,211.77746511227244,0.0,1.0,0.0003326864430274,26331100.0,36070.0,1097129.1666666665
62,568,2018-03-05,WSM,436544229966.7053,13.272362155028974,212.2292156750244,0.0,1.0,0.0003272325669122,26769951.666666664,36671.16666666666,1115414.6527777778
63,577,2018-03-06,WSM,436869611676.7695,13.254251846761726,212.3629960487889,0.0,1.0,0.0003219546222846,27208803.333333336,37272.333333333336,1133700.138888889
64,586,2018-03-07,WSM,437710499101.7376,13.269739478957916,212.7910678499857,0.0,1.0,0.0003168442314547,27647655.0,37873.5,1151985.625
65,595,2018-03-08,WSM,438572246603.4404,13.179209621993127,213.19942726231383,2.0,3.0,0.0009356806210146,9362168.888888888,12824.888888888889,390090.3703703704
66,604,2018-03-09,WSM,439386295956.6284,13.319683866903384,213.6165740793769,0.0,3.0,0.000921387712271,9507398.333333332,13023.833333333332,396141.5972222222
67,613,2018-03-10,WSM,440176946836.03845,13.326059564719358,214.0387192851824,0.0,3.0,0.0009074272923881,9653666.0,13224.2,402236.0833333334
68,622,2018-03-11,WSM,440991348151.212,13.260675187711357,214.35753997821976,0.0,3.0,0.000893883601457,9799933.666666666,13424.566666666666,408330.5694444445
69,631,2018-03-12,WSM,441836312147.00085,13.344235065009451,214.88842430837963,1.0,4.0,0.0011743176725023,7459651.0,10218.7,310818.7916666667
70,640,2018-03-13,WSM,442640416145.326,13.391995865870465,215.4387093069989,0.0,4.0,0.0011573627560665,7568932.0,10368.4,315372.1666666666
71,649,2018-03-14,WSM,443671217846.2172,13.37377556281148,215.8216188348513,0.0,4.0,0.0011408290024084,7678626.666666667,10518.666666666668,319942.7777777778
72,658,2018-03-15,WSM,444596380928.7293,13.384060046983327,216.30556351343608,0.0,4.0,0.0011247609882899,7788321.333333332,10668.933333333332,324513.3888888889
73,667,2018-03-16,WSM,445395664793.2553,13.275257731958764,216.69971363115687,0.0,4.0,0.001109139307897,7898016.0,10819.2,329084.0
74,676,2018-03-17,WSM,446639866316.1792,13.423233656660736,217.38173678470983,0.0,4.0,0.0010939456187477,8007710.666666666,10969.466666666667,333654.6111111111
