,app,models,n_b_written,n_b_read,media_wearout_i,w_l_count,w_r_d,%write,%read,%write_appModel,N_AllSSDsApp,N_failed_SDDs,AFR_SDDs,mttf_SDDs,lithography,capacity,tech
70,WSM,A2,19500862979.0,18676173680.0,87.56020140105079,0.0,0.0,51.08008553199949,48.91991446800051,2.4341056804310316e-05,5486,11,0.001002551950419249,8737701.818181818,20nm,800GB,MLC
71,WSM,A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495,3,0.0006012024048096192,14570800.0,20nm,480GB,MLC
72,WSM,A4,39569936483.0,1245802156.0,84.26732377538829,0.0,0.0,96.94774075505859,3.0522592449414083,4.9391356306275915e-05,14401,99,0.003437261301298521,2548540.606060606,16nm,240GB,MLC
73,WSM,A5,310576315090.0,231839249428.0,64.38612899928447,0.0,0.0,57.25800205714664,42.74199794285336,0.0003876626247679389,21902,177,0.004040726874258059,2167926.779661017,16nm,480GB,MLC
74,WSM,A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1812,2,0.0005518763796909492,15873120.0,20nm,800GB,MLC
75,WSM,B1,4.926124149370874e+16,0.0,0.0,0.0,1459.710591679963,100.0,0.0,61.48808279615433,66060,270,0.0020435967302452314,4286560.0,21nm,480GB,MLC
76,WSM,B2,1.7361043096029488e+16,1.2214450957409456e+16,0.0,0.0,568.83890157433,58.700771201523864,41.29922879847614,21.670124888196273,18036,170,0.004712796628964294,1858768.9411764706,19nm,1920GB,MLC
77,WSM,B3,1.349173924804887e+16,9011522241501204.0,0.0,0.0,313.218473534263,59.95459482312856,40.045405176871455,16.840444024418293,22233,1114,0.025052849368056494,349660.82585278276,24nm,1920GB,MLC
78,WSM,C1,0.0,0.0,0.0,445.4959444054718,0.0,0.0,0.0,0.0,108341,6630,0.03059783461478111,286294.76923076925,V1,1920GB,3D-TLC
79,WSM,C2,0.0,0.0,0.0,68.03154574132492,0.0,0.0,0.0,0.0,6844,233,0.017022209234365867,514621.8025751073,V1,960GB,3D-TLC
80,none,A1,218710410520.0,239278510014.0,84.65060441081481,0.0,0.0,47.75451997069948,52.245480029300516,0.0011625849582558238,73750,173,0.0011728813559322034,7468786.12716763,20nm,480GB,MLC
81,none,A2,114951480357.0,92005996810.0,87.1204793585807,0.0,0.0,55.5435261052406,44.456473894759405,0.0006110402411780357,42889,211,0.0024598381869477023,3561209.857819905,20nm,800GB,MLC
82,none,A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16782,551,0.016416398522226195,533612.77676951,20nm,480GB,MLC
83,none,A4,11836336245.0,1003181433.0,95.97491137169348,0.0,0.0,92.18676699422353,7.813233005776466,6.291765648730684e-05,16421,286,0.00870836124474758,1005929.7902097902,16nm,240GB,MLC
84,none,A5,10883227957.0,14236246805.0,94.01114206128133,0.0,0.0,43.32585796524626,56.67414203475375,5.785127964414129e-05,6153,31,0.0025190963757516656,3477437.419354839,16nm,480GB,MLC
85,none,A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10221,42,0.002054593484003522,4263617.142857143,20nm,800GB,MLC
86,none,B1,4191326641464522.0,0.0,0.0,0.0,442.09683634781527,100.0,0.0,22.27956729137026,18761,55,0.0014658067267203242,5976231.2727272725,21nm,480GB,MLC
87,none,B2,1.2492202940621332e+16,5519995003240700.0,0.0,0.0,619.4796221924736,69.35412868299211,30.645871317007895,66.40400518528335,15015,261,0.008691308691308691,1007903.4482758621,19nm,1920GB,MLC
88,none,B3,2128537934332460.0,2850971748011543.0,0.0,0.0,108.38707792966468,42.74593424086875,57.254065759131244,11.314533129210828,10096,414,0.020503169572107766,427251.0144927536,24nm,1920GB,MLC
89,none,C1,0.0,0.0,0.0,118.42931020765376,0.0,0.0,0.0,0.0,29753,1423,0.023913554935636742,366319.4378074491,V1,1920GB,3D-TLC
90,none,C2,0.0,0.0,0.0,50.325510592414055,0.0,0.0,0.0,0.0,8916,106,0.005944369672498878,1473663.3962264152,V1,960GB,3D-TLC
91,NAS,A2,,,,,,,,,0,0,0,0,20nm,800GB,MLC
92,NAS,A5,,,,,,,,,0,0,0,0,16nm,480GB,MLC
93,SS,B1,,,,,,,,,1,0,0,0,21nm,480GB,MLC
94,NAS,B1,,,,,,,,,0,0,0,0,21nm,480GB,MLC
95,DB,C2,,,,,,,,,0,0,0,0,V1,960GB,3D-TLC
96,WS,A3,,,,,,,,,637,6,0.004709576138147566,1860040.0000000002,20nm,480GB,MLC
97,NAS,A3,,,,,,,,,0,0,0,0,20nm,480GB,MLC
98,NAS,A6,,,,,,,,,0,0,0,0,20nm,800GB,MLC
