,disk_id,timestamp,r_sectors,u_errors,n_b_written,n_b_read,app
131,19015.0,38880.0,100.0,100.0,99.0,99.0,DAE
132,19015.0,38880.0,100.0,100.0,,,DAE
133,19015.0,38880.0,100.0,100.0,100.0,100.0,DAE
134,19015.0,38880.0,94.0,100.0,,,DAE
135,19015.0,38880.0,100.0,100.0,99.0,99.0,DAE
136,19015.0,40320.0,100.0,100.0,99.0,99.0,DAE
137,19015.0,40320.0,94.0,100.0,,,DAE
138,19015.0,40320.0,100.0,100.0,99.0,99.0,DAE
139,19015.0,40320.0,100.0,100.0,100.0,100.0,DAE
140,19015.0,41760.0,100.0,100.0,99.0,99.0,DAE
141,19015.0,41760.0,94.0,100.0,,,DAE
142,19015.0,41760.0,100.0,100.0,100.0,100.0,DAE
143,19015.0,41760.0,100.0,100.0,99.0,99.0,DAE
144,19015.0,43200.0,100.0,100.0,100.0,100.0,DAE
145,19015.0,43200.0,100.0,100.0,99.0,99.0,DAE
146,19015.0,43200.0,100.0,100.0,99.0,99.0,DAE
147,19015.0,43200.0,94.0,100.0,,,DAE
148,19015.0,44640.0,100.0,100.0,99.0,99.0,DAE
149,19015.0,44640.0,100.0,100.0,100.0,100.0,DAE
150,19015.0,44640.0,94.0,100.0,,,DAE
151,19015.0,44640.0,100.0,100.0,99.0,99.0,DAE
152,19015.0,46080.0,94.0,100.0,,,DAE
153,19015.0,46080.0,100.0,100.0,100.0,100.0,DAE
154,19015.0,46080.0,100.0,100.0,99.0,99.0,DAE
155,19015.0,46080.0,100.0,100.0,99.0,99.0,DAE
156,19015.0,47520.0,100.0,100.0,100.0,100.0,DAE
157,19015.0,47520.0,100.0,100.0,99.0,99.0,DAE
158,19015.0,47520.0,94.0,100.0,,,DAE
159,19015.0,47520.0,100.0,100.0,99.0,99.0,DAE
160,19015.0,48960.0,100.0,100.0,100.0,100.0,DAE
161,19015.0,48960.0,94.0,100.0,,,DAE
162,19015.0,48960.0,100.0,100.0,99.0,99.0,DAE
163,19015.0,48960.0,100.0,100.0,99.0,99.0,DAE
164,19015.0,50400.0,100.0,100.0,99.0,99.0,DAE
165,19015.0,50400.0,100.0,100.0,100.0,100.0,DAE
166,19015.0,50400.0,94.0,100.0,,,DAE
167,19015.0,50400.0,100.0,100.0,,,DAE
168,19015.0,50400.0,100.0,100.0,99.0,99.0,DAE
169,19015.0,51840.0,100.0,100.0,,,DAE
170,19015.0,51840.0,100.0,100.0,99.0,99.0,DAE
171,19015.0,51840.0,100.0,100.0,99.0,99.0,DAE
172,19015.0,51840.0,94.0,100.0,,,DAE
173,19015.0,51840.0,100.0,100.0,100.0,100.0,DAE
174,19015.0,53280.0,100.0,100.0,100.0,100.0,DAE
175,19015.0,53280.0,100.0,100.0,99.0,99.0,DAE
176,19015.0,53280.0,100.0,100.0,,,DAE
177,19015.0,53280.0,94.0,100.0,,,DAE
178,19015.0,53280.0,100.0,100.0,99.0,99.0,DAE
179,19015.0,54720.0,100.0,100.0,99.0,99.0,DAE
180,19015.0,54720.0,100.0,100.0,100.0,100.0,DAE
181,19015.0,54720.0,100.0,100.0,99.0,99.0,DAE
182,19015.0,54720.0,94.0,100.0,,,DAE
183,19015.0,54720.0,100.0,100.0,,,DAE
184,19015.0,56160.0,94.0,100.0,,,DAE
185,19015.0,56160.0,100.0,100.0,,,DAE
186,19015.0,56160.0,100.0,100.0,100.0,100.0,DAE
187,19015.0,56160.0,100.0,100.0,99.0,99.0,DAE
188,19015.0,56160.0,100.0,100.0,99.0,99.0,DAE
189,19015.0,57600.0,100.0,100.0,,,DAE
190,19015.0,57600.0,100.0,100.0,100.0,100.0,DAE
191,19015.0,57600.0,100.0,100.0,99.0,99.0,DAE
192,19015.0,57600.0,94.0,100.0,,,DAE
193,19015.0,57600.0,100.0,100.0,99.0,99.0,DAE
194,19015.0,59040.0,100.0,100.0,100.0,100.0,DAE
195,19015.0,59040.0,100.0,100.0,99.0,99.0,DAE
196,19015.0,59040.0,100.0,100.0,99.0,99.0,DAE
197,19015.0,59040.0,94.0,100.0,,,DAE
198,19015.0,59040.0,100.0,100.0,,,DAE
199,19015.0,60480.0,100.0,100.0,100.0,100.0,DAE
