,disk_id,failure_time,model_y,app
146,13677.0,2018-08-06 20:15:16,B2,none
147,1487.0,2019-06-23 10:21:41,B2,none
148,13091.0,2018-06-01 14:47:18,B2,WS
149,11774.0,2019-07-29 03:32:50,B2,RM
150,13927.0,2018-12-30 06:39:28,B2,WSM
151,26764.0,2019-01-11 11:44:00,B2,RM
152,46711.0,2019-09-25 22:14:13,B2,WSM
153,46710.0,2019-09-25 21:13:56,B2,WSM
154,46706.0,2019-09-25 22:12:47,B2,WSM
155,7939.0,2019-07-10 14:55:29,B2,WSM
156,20526.0,2018-08-22 01:42:44,B2,RM
157,44201.0,2018-05-14 20:36:57,B2,RM
158,368.0,2018-05-24 19:32:15,B2,WSM
159,5149.0,2019-09-09 08:42:55,B2,WSM
160,40464.0,2019-03-20 04:40:30,B2,RM
161,23878.0,2019-06-19 21:59:32,B2,none
162,17187.0,2018-05-24 21:10:50,B2,WSM
163,47518.0,2019-05-11 14:01:31,B2,WSM
164,40575.0,2018-09-11 10:12:15,B2,none
165,34477.0,2019-07-28 20:49:23,B2,WSM
166,110.0,2019-09-21 09:23:52,B2,WSM
167,10337.0,2019-06-21 13:28:28,B2,none
168,12496.0,2019-05-08 16:47:50,B2,RM
169,8745.0,2018-10-21 03:37:04,B2,RM
170,18891.0,2019-01-15 11:18:34,B2,none
171,10601.0,2018-04-17 21:11:05,B2,none
172,4806.0,2019-08-03 22:58:13,B2,WSM
173,14870.0,2019-03-14 06:46:45,B2,WSM
174,42329.0,2018-07-05 14:52:14,B2,WSM
175,23235.0,2019-10-23 08:47:25,B2,WSM
176,35934.0,2018-06-27 05:32:05,B2,none
177,46701.0,2019-09-25 21:33:52,B2,WSM
178,26330.0,2018-05-15 00:46:06,B2,none
179,4101.0,2018-10-30 06:18:40,B2,WSM
180,8744.0,2019-10-28 16:42:07,B2,WSM
181,827.0,2018-11-30 09:59:56,B2,WSM
182,43504.0,2018-12-05 17:35:44,B2,WSM
183,42951.0,2019-04-22 11:55:33,B2,WSM
184,25360.0,2019-06-08 22:32:50,B2,WPS
185,9349.0,2018-01-12 13:34:06,B2,DB
186,35271.0,2019-08-11 08:08:19,B2,WSM
187,8787.0,2018-09-19 02:51:58,B2,WSM
188,48566.0,2018-03-08 04:43:00,B2,WSM
189,7147.0,2019-12-23 08:36:04,B2,none
190,33166.0,2019-01-21 11:19:22,B2,none
191,28271.0,2019-01-15 11:02:25,B2,none
192,3022.0,2018-07-15 11:17:35,B2,none
193,1281.0,2018-08-28 19:54:55,B2,none
194,13137.0,2019-05-12 12:10:59,B2,RM
195,20447.0,2018-07-29 06:06:17,B2,none
196,14322.0,2018-04-29 20:32:41,B2,none
197,17848.0,2019-04-04 20:42:17,B2,none
198,30085.0,2019-07-02 11:32:13,B2,none
199,48641.0,2019-09-02 07:46:04,B2,none
200,37767.0,2018-11-26 16:23:03,B2,RM
201,32740.0,2019-07-11 17:13:17,B2,WSM
202,45223.0,2018-05-24 19:32:20,B2,WSM
203,26765.0,2018-09-17 16:52:14,B2,RM
204,32255.0,2019-09-21 23:04:06,B2,RM
205,28236.0,2018-05-24 19:32:22,B2,WSM
206,4698.0,2019-10-06 12:27:50,B2,WSM
207,35920.0,2019-09-21 15:44:58,B2,WSM
208,35918.0,2018-05-24 19:32:25,B2,WSM
209,28132.0,2019-11-21 18:26:59,B2,NAS
210,39615.0,2019-06-20 06:48:00,B2,none
211,2519.0,2019-08-25 22:01:12,B2,WSM
212,14445.0,2019-02-28 13:53:13,B2,WSM
213,14453.0,2019-02-28 13:53:13,B2,WSM
214,14456.0,2018-11-12 06:51:58,B2,WSM
215,48374.0,2018-07-19 01:26:08,B2,RM
216,35008.0,2019-04-22 19:02:24,B2,RM
217,4257.0,2019-04-22 17:51:59,B2,RM
218,44332.0,2019-04-18 11:07:13,B2,RM
219,4549.0,2019-09-27 13:26:04,B2,none
220,32711.0,2018-04-19 04:40:36,B2,WSM
221,708.0,2018-05-13 03:15:25,B2,SS
222,2451.0,2018-11-12 15:52:13,B2,none
223,23158.0,2019-01-15 15:24:14,B2,none
224,1385.0,2019-06-18 16:39:47,B2,none
225,26567.0,2018-06-22 03:31:47,B2,RM
226,24640.0,2019-01-24 17:05:04,B2,RM
227,34419.0,2019-05-10 14:12:29,B2,none
228,19434.0,2018-06-16 04:51:32,B2,RM
229,45399.0,2018-05-24 19:32:26,B2,RM
230,47342.0,2018-03-10 19:01:08,B2,DAE
231,41992.0,2019-04-16 02:52:53,B2,none
232,41986.0,2019-04-16 02:52:53,B2,none
233,28039.0,2019-01-15 15:23:58,B2,none
234,18715.0,2019-01-15 15:23:46,B2,none
235,28031.0,2019-01-15 15:23:57,B2,none
236,28040.0,2019-01-15 15:23:57,B2,none
237,28036.0,2019-01-15 15:24:04,B2,none
238,28030.0,2019-01-15 15:23:57,B2,none
239,28034.0,2019-01-15 15:23:57,B2,none
240,28037.0,2019-01-15 15:23:56,B2,none
241,28035.0,2019-01-15 15:24:04,B2,none
242,28038.0,2019-01-15 15:23:58,B2,none
243,28032.0,2019-01-15 15:24:04,B2,none
244,41989.0,2019-04-16 02:52:53,B2,none
245,28033.0,2019-01-15 15:24:04,B2,none
246,41995.0,2019-04-16 02:52:53,B2,none
247,41994.0,2019-04-16 02:52:53,B2,none
248,41990.0,2019-04-16 02:53:01,B2,none
249,41993.0,2019-04-16 02:52:54,B2,none
250,41987.0,2019-04-16 02:52:53,B2,none
